,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
233,SNS17,PIPO,FireScar,35.97355067,-106.8665275,331708.8513,3982625.396,2493.300049,Edge
234,SNS18,PIPO,GC,35.973629,-106.8667133,331692.2636,3982634.406,2504.199951,Edge
235,SNS19,PIPO,DD,35.97360333,-106.8666835,331694.8962,3982631.507,2497.100098,Edge
236,SNS20,PIPO,DD,35.97467283,-106.8668622,331681.054,3982750.458,2503.5,Interior
237,SNS21,QUGA,AGE,35.97467,-106.866946,331673.4916,3982750.289,2521.199951,Interior
238,SNS22,QUGA,AGE,35.97467,-106.866946,331673.4916,3982750.289,2521.199951,Interior
239,SNS23,PIPO,GC,35.97673217,-106.8657377,331786.8232,3982976.965,2543.800049,Interior
240,SNS24,QUGA,AGE,35.97740683,-106.8607895,332234.4258,3983043.28,2616.800049,Interior
241,SNS25,QUGA,AGE,35.97740683,-106.8607895,332234.4258,3983043.28,2616.800049,Interior
242,SNS26,PIPO,FireScar,35.97695733,-106.860313,332276.4395,3982992.596,2639.300049,Interior
243,SNS27,PIPO,GC,35.97693033,-106.8604823,332261.1168,3982989.892,2632.399902,Interior
244,SNS28,PIPO,DD,35.976913,-106.8603282,332274.9751,3982987.704,2642.5,Interior
245,SNS29,PIPO,FireScar,35.976892,-106.8604005,332268.4114,3982985.499,2638.100098,Interior
246,SNS30,PIPO,FireScar,35.976827,-106.8603822,332269.9239,3982978.257,2633,Interior
247,SNS31,QUGA,AGE,35.97597917,-106.8614437,332172.4141,3982886.032,2599.5,Interior
248,SNS32,QUGA,AGE,35.97597917,-106.8614437,332172.4141,3982886.032,2599.5,Interior
249,SNS50,PIPO,AGE,35.981587,-106.87348,331099.0565,3983528.912,2532.099854,Interior
250,SNS51,JUSC,AGE,35.981587,-106.87348,331099.0565,3983528.912,2532.099854,Interior
251,SNS52,QUGA,AGE,35.981587,-106.87348,331099.0565,3983528.912,2532.099854,Interior
252,SNS53,QUGA,AGE,35.981587,-106.87348,331099.0565,3983528.912,2532.099854,Interior
253,SNS54,PIPO,Chron,35.9813915,-106.8732802,331116.6545,3983506.878,2526.099854,Interior
254,SNS55,PIPO,FireScar,35.9814815,-106.8727582,331163.9118,3983515.958,2531.799805,Interior
255,SNS56,QUGA,AGE,35.980888,-106.872715,331166.5421,3983450.044,2516.299805,Interior
256,SNS57,QUGA,AGE,35.980888,-106.872715,331166.5421,3983450.044,2516.299805,Interior
257,SNS58,PIPO,Chron,35.98052617,-106.8730035,331139.7585,3983410.405,2499.599854,Interior
258,SNS59,QUGA,AGE,35.9787635,-106.8740515,331041.5069,3983216.683,2474.199951,Interior
259,SNS60,QUGA,AGE,35.9787635,-106.8740515,331041.5069,3983216.683,2474.199951,Interior
260,SNS61,PIPO,AGE,35.9787635,-106.8740515,331041.5069,3983216.683,2474.199951,Interior
261,SNS62,PIED,AGE,35.9787635,-106.8740515,331041.5069,3983216.683,2474.199951,Interior
262,SNS63,PIPO,AGE,35.98129867,-106.8694863,331458.5295,3983490.014,2526.299805,Interior
263,SNS64,PIPO,GC,35.98125,-106.8695937,331448.7423,3983484.8,2532,Interior
264,SNS65,QUGA,AGE,35.98129867,-106.8694863,331458.5295,3983490.014,2526.299805,Interior
265,SNS66,PIPO,DD,35.981283,-106.8695035,331456.9453,3983488.305,2525.199951,Interior
266,SNS67,QUGA,AGE,35.98129867,-106.8694863,331458.5295,3983490.014,2526.299805,Interior
267,SNS68,QUGA,AGE,35.98131533,-106.8696468,331444.0936,3983492.139,2530.5,Interior
268,SNS69,QUGA,AGE,35.98131533,-106.8696468,331444.0936,3983492.139,2530.5,Interior
269,SNS70,PIPO,GC,35.98229667,-106.8639547,331959.3966,3983591.174,2618,Edge
270,SNS71,PSME,DD,35.98226783,-106.8637363,331979.027,3983587.598,2622,Edge
271,SNS72,QUGA,AGE,35.98236483,-106.863822,331971.5058,3983598.506,2625.399902,Edge
272,SNS73,QUGA,AGE,35.98249833,-106.863861,331968.2726,3983613.383,2623.899902,Edge
273,SNS74,QUGA,DD,35.98250617,-106.8638625,331968.154,3983614.255,2624.099854,Edge
274,SNS75,QUGA,AGE,35.98249833,-106.863861,331968.2726,3983613.383,2623.899902,Edge
275,SNS76,QUGA,DD,35.98253917,-106.8638943,331965.3568,3983617.971,2625.599854,Edge
